run,reference,candidate,generation,credits,config,orientation,front,side,top,overall
run_20260914_160559_coffee-mug-school-project_vs_coffee-cups-low-poly,Coffee Mug (School Project),☕coffee cups low poly☕,-,-,default,manual up=? front=?,53.2336312166467,50.45022925702166,57.93826188397789,53.87404078588208
run_20260914_161418_victorian-chair_vs_worn-leather-office-chair,Victorian chair,Worn Leather Office Chair,-,-,default,manual up=? front=?,51.610332786878395,55.83402708706589,59.241394384464016,55.561918086136096
run_20260914_161426_victorian-chair_vs_office-chair-modern,Victorian chair,Office Chair Modern,-,-,default,manual up=? front=?,63.15075571873795,65.6175149062459,67.35820462005826,65.37549174834737
run_20260914_163739_victorian-chair_vs_tripo-image-v2.5,Victorian chair,tripo-image,tripo-image,-,default,auto up=+y front=+z yaw=+0,91.62908447890348,90.48885306869663,93.178294645744,91.7654107311147
run_20260914_164159_victorian-chair_vs_tripo-image-v1.4,Victorian chair,tripo-image-v1.4,tripo-image-v1.4-20240625,-,default,auto up=+y front=+x yaw=+0,88.89921380590067,84.83017323210791,90.07473762454505,87.93470822085122
run_20260914_164333_victorian-chair_vs_tripo-image-v3.1-90deg-orient-only,Victorian chair,tripo-image-v3.1,tripo-image-v3.1-20260211,20,default,auto up=+y front=+z yaw=+0,65.29162476910163,67.33515061008762,77.92041699936135,70.18239745951688
run_20260914_164815_victorian-chair_vs_tripo-image-v3.1,Victorian chair,tripo-image-v3.1,-,-,default,auto up=+y front=+z yaw=-42,91.85343444172437,88.49297062507812,93.5672160218091,91.30454036287053
run_20260914_165114_victorian-chair_vs_tripo-text-v3.1,Victorian chair,tripo-text-v3.1,tripo-text-v3.1-20260211,10,default,auto up=+y front=+x yaw=+0,81.32823211530817,74.90639467261519,83.0112066970791,79.74861116166748
run_20260914_192745_viking-medieval-game-character_vs_tripo-image-v3.1,Viking/Medieval Game Character,tripo-image-v3.1,tripo-image-v3.1-20260211,20,default,auto up=+y front=+x yaw=+48,84.60493521573018,91.19413506189903,89.76989956029215,88.52298994597379
run_20260914_230029_viking-medieval-game-character_vs_tripo-text-v3.1,Viking/Medieval Game Character,tripo-text-v3.1,tripo-text-v3.1-20260211,10,default,auto up=+y front=+x yaw=+16,78.55397728230366,75.18699112263394,81.5424417022973,78.42780336907829
run_20260914_231731_tarisland-dragon-high-poly_vs_tripo-text-v3.1,Tarisland - Dragon (High Poly),tripo-text-v3.1,tripo-text-v3.1-20260211,10,default,auto up=+y front=+x yaw=+6,67.42932135365851,68.0239349770503,71.44763933797886,68.9669652228959
run_20260915_151221_victorian-chair_vs_tripo-text-v3.1,Victorian chair,tripo-text-v3.1,-,-,shape,auto up=+y front=+x yaw=+0,77.8066935224577,58.5680442102551,67.18270884058187,67.85248219109822
run_20260915_151337_victorian-chair_vs_tripo-image-v3.1,Victorian chair,tripo-image-v3.1,-,-,shape,auto up=+y front=+z yaw=-42,91.37486504113325,83.59070481782112,88.37248999498274,87.77935328464571
run_20260915_151448_viking-medieval-game-character_vs_tripo-text-v3.1,Viking/Medieval Game Character,tripo-text-v3.1,-,-,shape,auto up=+y front=+x yaw=+16,72.44287776009112,64.49208266151606,54.338544304315036,63.75783490864074
run_20260915_151604_viking-medieval-game-character_vs_tripo-image-v3.1,Viking/Medieval Game Character,tripo-image-v3.1,-,-,shape,auto up=+y front=+x yaw=+48,83.42931880114403,90.12728993618148,79.62778571075305,84.39479814935952
run_20260915_151716_tarisland-dragon-high-poly_vs_tripo-text-v3.1,Tarisland - Dragon (High Poly),tripo-text-v3.1,-,-,shape,auto up=+y front=+x yaw=+6,44.186863264619646,48.30647714738781,57.66807252364279,50.05380431188342
run_20260915_151824_viking-medieval-game-character_vs_medieval-knight-sculpture-game-ready,Viking/Medieval Game Character,Medieval Knight | Sculpture | Game ready,-,-,shape,auto up=+y front=-z yaw=+160,70.63901823373698,66.59910169422795,49.99366170467799,62.41059387754765
run_20260915_151836_viking-medieval-game-character_vs_tarisland-dragon-high-poly,Viking/Medieval Game Character,Tarisland - Dragon (High Poly),-,-,shape,auto up=+x front=+y yaw=+60,42.61281587883302,56.15169270606066,52.043609675476596,50.26937275345676
run_20260915_151848_victorian-chair_vs_tarisland-dragon-high-poly,Victorian chair,Tarisland - Dragon (High Poly),-,-,shape,auto up=+x front=-z yaw=+56,40.56908254575302,41.52934426546715,40.94810768578171,41.01551149900063
run_20260915_151856_victorian-chair_vs_coffee-mug-school-project,Victorian chair,Coffee Mug (School Project),-,-,shape,auto up=+y front=+z yaw=-128,44.938384661306415,30.110194303187548,55.85203713391955,43.63353869947118
